Assembly,original,corrected,RefSeq.Accession.version,GenBank.Accession.version,NCBI.name
Fundulus_heteroclitus-3.0.2,Scaffold0,Scaffold0,NW_012224401.1,KN805525.1,GPS_009135723.1
Fundulus_heteroclitus-3.0.2,Scaffold1,Scaffold1,NW_012224402.1,KN805526.1,GPS_009135724.1
Fundulus_heteroclitus-3.0.2,Scaffold2,Scaffold2,NW_012224403.1,KN805527.1,GPS_009135725.1
Fundulus_heteroclitus-3.0.2,Scaffold3,Scaffold3,NW_012224404.1,KN805528.1,GPS_009135726.1
Fundulus_heteroclitus-3.0.2,Scaffold4,Scaffold4,NW_012224405.1,KN805529.1,GPS_009135727.1
Fundulus_heteroclitus-3.0.2,Scaffold5,Scaffold5,NW_012224406.1,KN805530.1,GPS_009135728.1
Fundulus_heteroclitus-3.0.2,Scaffold6,Scaffold6,NW_012224407.1,KN805531.1,GPS_009135729.1
Fundulus_heteroclitus-3.0.2,Scaffold7,Scaffold7,NW_012224408.1,KN805532.1,GPS_009135730.1
Fundulus_heteroclitus-3.0.2,Scaffold8,Scaffold8,NW_012224409.1,KN805533.1,GPS_009135731.1
Fundulus_heteroclitus-3.0.2,Scaffold9,Scaffold9,NW_012224410.1,KN805534.1,GPS_009135732.1
Fundulus_heteroclitus-3.0.2,Scaffold10,Scaffold10,NW_012224411.1,KN805535.1,GPS_009135733.1
Fundulus_heteroclitus-3.0.2,Scaffold11,Scaffold11,NW_012224412.1,KN805536.1,GPS_009135734.1
Fundulus_heteroclitus-3.0.2,Scaffold12,Scaffold12,NW_012224413.1,KN805537.1,GPS_009135735.1
Fundulus_heteroclitus-3.0.2,Scaffold13,Scaffold13,NW_012224414.1,KN805538.1,GPS_009135736.1
Fundulus_heteroclitus-3.0.2,Scaffold14,Scaffold14,NW_012224415.1,KN805539.1,GPS_009135737.1
Fundulus_heteroclitus-3.0.2,Scaffold15,Scaffold15,NW_012224416.1,KN805540.1,GPS_009135738.1
Fundulus_heteroclitus-3.0.2,Scaffold16,Scaffold16,NW_012224417.1,KN805541.1,GPS_009135739.1
Fundulus_heteroclitus-3.0.2,Scaffold17,Scaffold17,NW_012224418.1,KN805542.1,GPS_009135740.1
Fundulus_heteroclitus-3.0.2,Scaffold18,Scaffold18,NW_012224419.1,KN805543.1,GPS_009135741.1
Fundulus_heteroclitus-3.0.2,Scaffold19,Scaffold19,NW_012224420.1,KN805544.1,GPS_009135742.1
Fundulus_heteroclitus-3.0.2,Scaffold20,Scaffold20,NW_012224421.1,KN805545.1,GPS_009135743.1
Fundulus_heteroclitus-3.0.2,Scaffold21,Scaffold21,NW_012224422.1,KN805546.1,GPS_009135744.1
Fundulus_heteroclitus-3.0.2,Scaffold22,Scaffold22,NW_012224423.1,KN805547.1,GPS_009135745.1
Fundulus_heteroclitus-3.0.2,Scaffold23,Scaffold23,NW_012224424.1,KN805548.1,GPS_009135746.1
Fundulus_heteroclitus-3.0.2,Scaffold24,Scaffold24,NW_012224425.1,KN805549.1,GPS_009135747.1
Fundulus_heteroclitus-3.0.2,Scaffold25,Scaffold25,NW_012224426.1,KN805550.1,GPS_009135748.1
Fundulus_heteroclitus-3.0.2,Scaffold26,Scaffold26,NW_012224427.1,KN805551.1,GPS_009135749.1
Fundulus_heteroclitus-3.0.2,Scaffold27,Scaffold27,NW_012224428.1,KN805552.1,GPS_009135750.1
Fundulus_heteroclitus-3.0.2,Scaffold28,Scaffold28,NW_012224429.1,KN805553.1,GPS_009135751.1
Fundulus_heteroclitus-3.0.2,Scaffold29,Scaffold29,NW_012224430.1,KN805554.1,GPS_009135752.1
Fundulus_heteroclitus-3.0.2,Scaffold30,Scaffold30,NW_012224431.1,KN805555.1,GPS_009135753.1
Fundulus_heteroclitus-3.0.2,Scaffold31,Scaffold31,NW_012224432.1,KN805556.1,GPS_009135754.1
Fundulus_heteroclitus-3.0.2,Scaffold32,Scaffold32,NW_012224433.1,KN805557.1,GPS_009135755.1
Fundulus_heteroclitus-3.0.2,Scaffold33,Scaffold33,NW_012224434.1,KN805558.1,GPS_009135756.1
Fundulus_heteroclitus-3.0.2,Scaffold34,Scaffold34,NW_012224435.1,KN805559.1,GPS_009135757.1
Fundulus_heteroclitus-3.0.2,Scaffold35,Scaffold35,NW_012224436.1,KN805560.1,GPS_009135758.1
Fundulus_heteroclitus-3.0.2,Scaffold36,Scaffold36,NW_012224437.1,KN805561.1,GPS_009135759.1
Fundulus_heteroclitus-3.0.2,Scaffold37,Scaffold37,NW_012224438.1,KN805562.1,GPS_009135760.1
Fundulus_heteroclitus-3.0.2,Scaffold38,Scaffold38,NW_012224439.1,KN805563.1,GPS_009135761.1
Fundulus_heteroclitus-3.0.2,Scaffold39,Scaffold39,NW_012224440.1,KN805564.1,GPS_009135762.1
Fundulus_heteroclitus-3.0.2,Scaffold40,Scaffold40,NW_012224441.1,KN805565.1,GPS_009135763.1
Fundulus_heteroclitus-3.0.2,Scaffold41,Scaffold41,NW_012224442.1,KN805566.1,GPS_009135764.1
Fundulus_heteroclitus-3.0.2,Scaffold42,Scaffold42,NW_012224443.1,KN805567.1,GPS_009135765.1
Fundulus_heteroclitus-3.0.2,Scaffold43,Scaffold43,NW_012224444.1,KN805568.1,GPS_009135766.1
Fundulus_heteroclitus-3.0.2,Scaffold44,Scaffold44,NW_012224445.1,KN805569.1,GPS_009135767.1
Fundulus_heteroclitus-3.0.2,Scaffold45,Scaffold45,NW_012224446.1,KN805570.1,GPS_009135768.1
Fundulus_heteroclitus-3.0.2,Scaffold46,Scaffold46,NW_012224447.1,KN805571.1,GPS_009135769.1
Fundulus_heteroclitus-3.0.2,Scaffold47,Scaffold47,NW_012224448.1,KN805572.1,GPS_009135770.1
Fundulus_heteroclitus-3.0.2,Scaffold48,Scaffold48,NW_012224449.1,KN805573.1,GPS_009135771.1
Fundulus_heteroclitus-3.0.2,Scaffold49,Scaffold49,NW_012224450.1,KN805574.1,GPS_009135772.1
Fundulus_heteroclitus-3.0.2,Scaffold50,Scaffold50,NW_012224451.1,KN805575.1,GPS_009135773.1
Fundulus_heteroclitus-3.0.2,Scaffold51,Scaffold51,NW_012224452.1,KN805576.1,GPS_009135774.1
Fundulus_heteroclitus-3.0.2,Scaffold52,Scaffold52,NW_012224453.1,KN805577.1,GPS_009135775.1
Fundulus_heteroclitus-3.0.2,Scaffold53,Scaffold53,NW_012224454.1,KN805578.1,GPS_009135776.1
Fundulus_heteroclitus-3.0.2,Scaffold54,Scaffold54,NW_012224455.1,KN805579.1,GPS_009135777.1
Fundulus_heteroclitus-3.0.2,Scaffold55,Scaffold55,NW_012224456.1,KN805580.1,GPS_009135778.1
Fundulus_heteroclitus-3.0.2,Scaffold56,Scaffold56,NW_012224457.1,KN805581.1,GPS_009135779.1
Fundulus_heteroclitus-3.0.2,Scaffold57,Scaffold57,NW_012224458.1,KN805582.1,GPS_009135780.1
Fundulus_heteroclitus-3.0.2,Scaffold58,Scaffold58,NW_012224459.1,KN805583.1,GPS_009135781.1
Fundulus_heteroclitus-3.0.2,Scaffold59,Scaffold59,NW_012224460.1,KN805584.1,GPS_009135782.1
Fundulus_heteroclitus-3.0.2,Scaffold60,Scaffold60,NW_012224461.1,KN805585.1,GPS_009135783.1
Fundulus_heteroclitus-3.0.2,Scaffold61,Scaffold61,NW_012224462.1,KN805586.1,GPS_009135784.1
Fundulus_heteroclitus-3.0.2,Scaffold62,Scaffold62,NW_012224463.1,KN805587.1,GPS_009135785.1
Fundulus_heteroclitus-3.0.2,Scaffold63,Scaffold63,NW_012224464.1,KN805588.1,GPS_009135786.1
Fundulus_heteroclitus-3.0.2,Scaffold64,Scaffold64,NW_012224465.1,KN805589.1,GPS_009135787.1
Fundulus_heteroclitus-3.0.2,Scaffold65,Scaffold65,NW_012224466.1,KN805590.1,GPS_009135788.1
Fundulus_heteroclitus-3.0.2,Scaffold66,Scaffold66,NW_012224467.1,KN805591.1,GPS_009135789.1
Fundulus_heteroclitus-3.0.2,Scaffold67,Scaffold67,NW_012224468.1,KN805592.1,GPS_009135790.1
Fundulus_heteroclitus-3.0.2,Scaffold68,Scaffold68,NW_012224469.1,KN805593.1,GPS_009135791.1
Fundulus_heteroclitus-3.0.2,Scaffold69,Scaffold69,NW_012224470.1,KN805594.1,GPS_009135792.1
Fundulus_heteroclitus-3.0.2,Scaffold70,Scaffold70,NW_012224471.1,KN805595.1,GPS_009135793.1
Fundulus_heteroclitus-3.0.2,Scaffold71,Scaffold71,NW_012224472.1,KN805596.1,GPS_009135794.1
Fundulus_heteroclitus-3.0.2,Scaffold72,Scaffold72,NW_012224473.1,KN805597.1,GPS_009135795.1
Fundulus_heteroclitus-3.0.2,Scaffold73,Scaffold73,NW_012224474.1,KN805598.1,GPS_009135796.1
Fundulus_heteroclitus-3.0.2,Scaffold74,Scaffold74,NW_012224475.1,KN805599.1,GPS_009135797.1
Fundulus_heteroclitus-3.0.2,Scaffold75,Scaffold75,NW_012224476.1,KN805600.1,GPS_009135798.1
Fundulus_heteroclitus-3.0.2,Scaffold76,Scaffold76,NW_012224477.1,KN805601.1,GPS_009135799.1
Fundulus_heteroclitus-3.0.2,Scaffold77,Scaffold77,NW_012224478.1,KN805602.1,GPS_009135800.1
Fundulus_heteroclitus-3.0.2,Scaffold78,Scaffold78,NW_012224479.1,KN805603.1,GPS_009135801.1
Fundulus_heteroclitus-3.0.2,Scaffold79,Scaffold79,NW_012224480.1,KN805604.1,GPS_009135802.1
Fundulus_heteroclitus-3.0.2,Scaffold80,Scaffold80,NW_012224481.1,KN805605.1,GPS_009135803.1
Fundulus_heteroclitus-3.0.2,Scaffold81,Scaffold81,NW_012224482.1,KN805606.1,GPS_009135804.1
Fundulus_heteroclitus-3.0.2,Scaffold82,Scaffold82,NW_012224483.1,KN805607.1,GPS_009135805.1
Fundulus_heteroclitus-3.0.2,Scaffold83,Scaffold83,NW_012224484.1,KN805608.1,GPS_009135806.1
Fundulus_heteroclitus-3.0.2,Scaffold84,Scaffold84,NW_012224485.1,KN805609.1,GPS_009135807.1
Fundulus_heteroclitus-3.0.2,Scaffold85,Scaffold85,NW_012224486.1,KN805610.1,GPS_009135808.1
Fundulus_heteroclitus-3.0.2,Scaffold86,Scaffold86,NW_012224487.1,KN805611.1,GPS_009135809.1
Fundulus_heteroclitus-3.0.2,Scaffold87,Scaffold87,NW_012224488.1,KN805612.1,GPS_009135810.1
Fundulus_heteroclitus-3.0.2,Scaffold88,Scaffold88,NW_012224489.1,KN805613.1,GPS_009135811.1
Fundulus_heteroclitus-3.0.2,Scaffold89,Scaffold89,NW_012224490.1,KN805614.1,GPS_009135812.1
Fundulus_heteroclitus-3.0.2,Scaffold90,Scaffold90,NW_012224491.1,KN805615.1,GPS_009135813.1
Fundulus_heteroclitus-3.0.2,Scaffold91,Scaffold91,NW_012224492.1,KN805616.1,GPS_009135814.1
Fundulus_heteroclitus-3.0.2,Scaffold92,Scaffold92,NW_012224493.1,KN805617.1,GPS_009135815.1
Fundulus_heteroclitus-3.0.2,Scaffold93,Scaffold93,NW_012224494.1,KN805618.1,GPS_009135816.1
Fundulus_heteroclitus-3.0.2,Scaffold94,Scaffold94,NW_012224495.1,KN805619.1,GPS_009135817.1
Fundulus_heteroclitus-3.0.2,Scaffold95,Scaffold95,NW_012224496.1,KN805620.1,GPS_009135818.1
Fundulus_heteroclitus-3.0.2,Scaffold96,Scaffold96,NW_012224497.1,KN805621.1,GPS_009135819.1
Fundulus_heteroclitus-3.0.2,Scaffold97,Scaffold97,NW_012224498.1,KN805622.1,GPS_009135820.1
Fundulus_heteroclitus-3.0.2,Scaffold98,Scaffold98,NW_012224499.1,KN805623.1,GPS_009135821.1
Fundulus_heteroclitus-3.0.2,Scaffold99,Scaffold99,NW_012224500.1,KN805624.1,GPS_009135822.1
Fundulus_heteroclitus-3.0.2,Scaffold100,Scaffold100,NW_012224501.1,KN805625.1,GPS_009135823.1
Fundulus_heteroclitus-3.0.2,Scaffold101,Scaffold101,NW_012224502.1,KN805626.1,GPS_009135824.1
Fundulus_heteroclitus-3.0.2,Scaffold102,Scaffold102,NW_012224503.1,KN805627.1,GPS_009135825.1
Fundulus_heteroclitus-3.0.2,Scaffold103,Scaffold103,NW_012224504.1,KN805628.1,GPS_009135826.1
Fundulus_heteroclitus-3.0.2,Scaffold104,Scaffold104,NW_012224505.1,KN805629.1,GPS_009135827.1
Fundulus_heteroclitus-3.0.2,Scaffold105,Scaffold105,NW_012224506.1,KN805630.1,GPS_009135828.1
Fundulus_heteroclitus-3.0.2,Scaffold106,Scaffold106,NW_012224507.1,KN805631.1,GPS_009135829.1
Fundulus_heteroclitus-3.0.2,Scaffold107,Scaffold107,NW_012224508.1,KN805632.1,GPS_009135830.1
Fundulus_heteroclitus-3.0.2,Scaffold108,Scaffold108,NW_012224509.1,KN805633.1,GPS_009135831.1
Fundulus_heteroclitus-3.0.2,Scaffold109,Scaffold109,NW_012224510.1,KN805634.1,GPS_009135832.1
Fundulus_heteroclitus-3.0.2,Scaffold110,Scaffold110,NW_012224511.1,KN805635.1,GPS_009135833.1
Fundulus_heteroclitus-3.0.2,Scaffold111,Scaffold111,NW_012224512.1,KN805636.1,GPS_009135834.1
Fundulus_heteroclitus-3.0.2,Scaffold112,Scaffold112,NW_012224513.1,KN805637.1,GPS_009135835.1
Fundulus_heteroclitus-3.0.2,Scaffold113,Scaffold113,NW_012224514.1,KN805638.1,GPS_009135836.1
Fundulus_heteroclitus-3.0.2,Scaffold114,Scaffold114,NW_012224515.1,KN805639.1,GPS_009135837.1
Fundulus_heteroclitus-3.0.2,Scaffold115,Scaffold115,NW_012224516.1,KN805640.1,GPS_009135838.1
Fundulus_heteroclitus-3.0.2,Scaffold116,Scaffold116,NW_012224517.1,KN805641.1,GPS_009135839.1
Fundulus_heteroclitus-3.0.2,Scaffold117,Scaffold117,NW_012224518.1,KN805642.1,GPS_009135840.1
Fundulus_heteroclitus-3.0.2,Scaffold118,Scaffold118,NW_012224519.1,KN805643.1,GPS_009135841.1
Fundulus_heteroclitus-3.0.2,Scaffold119,Scaffold119,NW_012224520.1,KN805644.1,GPS_009135842.1
Fundulus_heteroclitus-3.0.2,Scaffold120,Scaffold120,NW_012224521.1,KN805645.1,GPS_009135843.1
Fundulus_heteroclitus-3.0.2,Scaffold121,Scaffold121,NW_012224522.1,KN805646.1,GPS_009135844.1
Fundulus_heteroclitus-3.0.2,Scaffold122,Scaffold122,NW_012224523.1,KN805647.1,GPS_009135845.1
Fundulus_heteroclitus-3.0.2,Scaffold123,Scaffold123,NW_012224524.1,KN805648.1,GPS_009135846.1
Fundulus_heteroclitus-3.0.2,Scaffold124,Scaffold124,NW_012224525.1,KN805649.1,GPS_009135847.1
Fundulus_heteroclitus-3.0.2,Scaffold125,Scaffold125,NW_012224526.1,KN805650.1,GPS_009135848.1
Fundulus_heteroclitus-3.0.2,Scaffold126,Scaffold126,NW_012224527.1,KN805651.1,GPS_009135849.1
Fundulus_heteroclitus-3.0.2,Scaffold127,Scaffold127,NW_012224528.1,KN805652.1,GPS_009135850.1
Fundulus_heteroclitus-3.0.2,Scaffold128,Scaffold128,NW_012224529.1,KN805653.1,GPS_009135851.1
Fundulus_heteroclitus-3.0.2,Scaffold129,Scaffold129,NW_012224530.1,KN805654.1,GPS_009135852.1
Fundulus_heteroclitus-3.0.2,Scaffold130,Scaffold130,NW_012224531.1,KN805655.1,GPS_009135853.1
Fundulus_heteroclitus-3.0.2,Scaffold131,Scaffold131,NW_012224532.1,KN805656.1,GPS_009135854.1
Fundulus_heteroclitus-3.0.2,Scaffold132,Scaffold132,NW_012224533.1,KN805657.1,GPS_009135855.1
